date,description,category,amount
2026-08-05,IN - Acme Subscriptions (MRR),Revenue,29851
2026-08-05,IN - Professional Services,Revenue,6921
2026-08-05,OUT - AWS India [Cloud Infra],Cloud Infra,-4848
2026-08-05,OUT - Payroll - Team [Payroll],Payroll,-21674
2026-08-05,OUT - Google Ads [Marketing],Marketing,-4327
2026-08-05,OUT - GitHub [Software Tools],Software Tools,-2502
2026-08-05,OUT - Swiggy Office [Office],Office,-1808
2026-08-05,OUT - Uber for Business [Travel],Travel,-1963
2026-08-06,IN - Acme Subscriptions (MRR),Revenue,31540
2026-08-06,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5122
2026-08-06,OUT - Payroll - Team [Payroll],Payroll,-22334
2026-08-06,OUT - Google Ads [Marketing],Marketing,-4505
2026-08-06,OUT - Notion [Software Tools],Software Tools,-3235
2026-08-06,OUT - Amazon Office Supplies [Office],Office,-1351
2026-08-06,OUT - IndiGo [Travel],Travel,-776
2026-08-07,IN - Acme Subscriptions (MRR),Revenue,26628
2026-08-07,IN - Enterprise Licenses,Revenue,13488
2026-08-07,IN - Professional Services,Revenue,3662
2026-08-07,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5238
2026-08-07,OUT - Payroll - Team [Payroll],Payroll,-21249
2026-08-07,OUT - LinkedIn Ads [Marketing],Marketing,-4095
2026-08-07,OUT - Notion [Software Tools],Software Tools,-2173
2026-08-08,IN - Acme Subscriptions (MRR),Revenue,9076
2026-08-08,IN - Enterprise Licenses,Revenue,4120
2026-08-08,IN - Professional Services,Revenue,2411
2026-08-08,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-4863
2026-08-08,OUT - Meta Ads [Marketing],Marketing,-6172
2026-08-08,OUT - Slack [Software Tools],Software Tools,-2567
2026-08-08,OUT - Amazon Office Supplies [Office],Office,-1595
2026-08-08,OUT - Uber for Business [Travel],Travel,-1018
2026-08-09,IN - Acme Subscriptions (MRR),Revenue,10267
2026-08-09,IN - Professional Services,Revenue,1156
2026-08-09,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-4552
2026-08-09,OUT - Google Ads [Marketing],Marketing,-5550
2026-08-09,OUT - GitHub [Software Tools],Software Tools,-3261
2026-08-09,OUT - Swiggy Office [Office],Office,-1717
2026-08-10,IN - Acme Subscriptions (MRR),Revenue,29433
2026-08-10,IN - Enterprise Licenses,Revenue,6219
2026-08-10,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-5904
2026-08-10,OUT - Payroll - Team [Payroll],Payroll,-22985
2026-08-10,OUT - Google Ads [Marketing],Marketing,-6300
2026-08-10,OUT - Amazon Office Supplies [Office],Office,-1369
2026-08-10,OUT - MakeMyTrip [Travel],Travel,-1845
2026-08-11,IN - Acme Subscriptions (MRR),Revenue,25683
2026-08-11,IN - Enterprise Licenses,Revenue,7581
2026-08-11,IN - Professional Services,Revenue,5502
2026-08-11,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5787
2026-08-11,OUT - Payroll - Team [Payroll],Payroll,-21188
2026-08-11,OUT - Meta Ads [Marketing],Marketing,-3351
2026-08-11,OUT - Slack [Software Tools],Software Tools,-3233
2026-08-11,OUT - Swiggy Office [Office],Office,-1307
2026-08-11,OUT - IndiGo [Travel],Travel,-759
2026-08-12,IN - Acme Subscriptions (MRR),Revenue,26372
2026-08-12,IN - Enterprise Licenses,Revenue,7508
2026-08-12,IN - Professional Services,Revenue,6493
2026-08-12,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-5594
2026-08-12,OUT - Payroll - Team [Payroll],Payroll,-21415
2026-08-12,OUT - LinkedIn Ads [Marketing],Marketing,-5611
2026-08-12,OUT - Datadog [Software Tools],Software Tools,-2372
2026-08-12,OUT - Swiggy Office [Office],Office,-1564
2026-08-12,OUT - MakeMyTrip [Travel],Travel,-1063
2026-08-13,IN - Acme Subscriptions (MRR),Revenue,30788
2026-08-13,OUT - AWS India [Cloud Infra],Cloud Infra,-5670
2026-08-13,OUT - Payroll - Team [Payroll],Payroll,-22821
2026-08-13,OUT - Meta Ads [Marketing],Marketing,-5847
2026-08-13,OUT - GitHub [Software Tools],Software Tools,-3096
2026-08-13,OUT - Swiggy Office [Office],Office,-2084
2026-08-13,OUT - IndiGo [Travel],Travel,-1222
2026-08-14,IN - Acme Subscriptions (MRR),Revenue,26936
2026-08-14,IN - Professional Services,Revenue,5099
2026-08-14,OUT - Payroll - Team [Payroll],Payroll,-22903
2026-08-14,OUT - LinkedIn Ads [Marketing],Marketing,-6050
2026-08-14,OUT - WeWork / Office [Office],Office,-1515
2026-08-14,OUT - MakeMyTrip [Travel],Travel,-407
2026-08-15,IN - Acme Subscriptions (MRR),Revenue,9404
2026-08-15,IN - Enterprise Licenses,Revenue,3631
2026-08-15,OUT - AWS India [Cloud Infra],Cloud Infra,-5434
2026-08-15,OUT - LinkedIn Ads [Marketing],Marketing,-3733
2026-08-15,OUT - Datadog [Software Tools],Software Tools,-2294
2026-08-15,OUT - WeWork / Office [Office],Office,-1266
2026-08-16,IN - Acme Subscriptions (MRR),Revenue,8811
2026-08-16,IN - Professional Services,Revenue,2281
2026-08-16,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-4653
2026-08-16,OUT - LinkedIn Ads [Marketing],Marketing,-4224
2026-08-16,OUT - Slack [Software Tools],Software Tools,-2271
2026-08-16,OUT - Swiggy Office [Office],Office,-2117
2026-08-17,IN - Acme Subscriptions (MRR),Revenue,28878
2026-08-17,IN - Enterprise Licenses,Revenue,10704
2026-08-17,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5200
2026-08-17,OUT - Payroll - Team [Payroll],Payroll,-20936
2026-08-17,OUT - Google Ads [Marketing],Marketing,-3749
2026-08-17,OUT - Datadog [Software Tools],Software Tools,-2437
2026-08-17,OUT - Amazon Office Supplies [Office],Office,-1982
2026-08-17,OUT - Uber for Business [Travel],Travel,-474
2026-08-18,IN - Acme Subscriptions (MRR),Revenue,26043
2026-08-18,IN - Professional Services,Revenue,5964
2026-08-18,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5647
2026-08-18,OUT - Payroll - Team [Payroll],Payroll,-22119
2026-08-18,OUT - LinkedIn Ads [Marketing],Marketing,-2857
2026-08-18,OUT - GitHub [Software Tools],Software Tools,-2455
2026-08-18,OUT - WeWork / Office [Office],Office,-1333
2026-08-18,OUT - Uber for Business [Travel],Travel,-1415
2026-08-19,IN - Acme Subscriptions (MRR),Revenue,31114
2026-08-19,IN - Enterprise Licenses,Revenue,7038
2026-08-19,OUT - AWS India [Cloud Infra],Cloud Infra,-4939
2026-08-19,OUT - Payroll - Team [Payroll],Payroll,-21675
2026-08-19,OUT - Meta Ads [Marketing],Marketing,-3330
2026-08-19,OUT - Slack [Software Tools],Software Tools,-3074
2026-08-19,OUT - Swiggy Office [Office],Office,-1328
2026-08-20,IN - Acme Subscriptions (MRR),Revenue,25936
2026-08-20,IN - Enterprise Licenses,Revenue,13736
2026-08-20,OUT - AWS India [Cloud Infra],Cloud Infra,-5654
2026-08-20,OUT - Payroll - Team [Payroll],Payroll,-21594
2026-08-20,OUT - Meta Ads [Marketing],Marketing,-6261
2026-08-20,OUT - Slack [Software Tools],Software Tools,-2151
2026-08-20,OUT - WeWork / Office [Office],Office,-2191
2026-08-20,OUT - MakeMyTrip [Travel],Travel,-918
2026-08-21,IN - Acme Subscriptions (MRR),Revenue,29535
2026-08-21,IN - Professional Services,Revenue,6348
2026-08-21,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-5102
2026-08-21,OUT - Payroll - Team [Payroll],Payroll,-22535
2026-08-21,OUT - Meta Ads [Marketing],Marketing,-3373
2026-08-21,OUT - Notion [Software Tools],Software Tools,-3394
2026-08-21,OUT - WeWork / Office [Office],Office,-2045
2026-08-21,OUT - MakeMyTrip [Travel],Travel,-2032
2026-08-22,IN - Acme Subscriptions (MRR),Revenue,11208
2026-08-22,IN - Enterprise Licenses,Revenue,4810
2026-08-22,OUT - AWS India [Cloud Infra],Cloud Infra,-4921
2026-08-22,OUT - LinkedIn Ads [Marketing],Marketing,-3764
2026-08-22,OUT - Datadog [Software Tools],Software Tools,-2697
2026-08-22,OUT - Swiggy Office [Office],Office,-1306
2026-08-22,OUT - Uber for Business [Travel],Travel,-1091
2026-08-23,IN - Acme Subscriptions (MRR),Revenue,10642
2026-08-23,IN - Professional Services,Revenue,2111
2026-08-23,OUT - AWS India [Cloud Infra],Cloud Infra,-11797
2026-08-23,OUT - Meta Ads [Marketing],Marketing,-4162
2026-08-23,OUT - GitHub [Software Tools],Software Tools,-3051
2026-08-23,OUT - Swiggy Office [Office],Office,-1916
2026-08-24,IN - Acme Subscriptions (MRR),Revenue,31325
2026-08-24,IN - Enterprise Licenses,Revenue,7647
2026-08-24,IN - Professional Services,Revenue,2348
2026-08-24,OUT - Payroll - Team [Payroll],Payroll,-22613
2026-08-24,OUT - Google Ads [Marketing],Marketing,-6118
2026-08-24,OUT - Notion [Software Tools],Software Tools,-3051
2026-08-24,OUT - Amazon Office Supplies [Office],Office,-2084
2026-08-24,OUT - IndiGo [Travel],Travel,-976
2026-08-25,IN - Acme Subscriptions (MRR),Revenue,31419
2026-08-25,IN - Enterprise Licenses,Revenue,7213
2026-08-25,IN - Professional Services,Revenue,4226
2026-08-25,OUT - AWS India [Cloud Infra],Cloud Infra,-10196
2026-08-25,OUT - Payroll - Team [Payroll],Payroll,-20957
2026-08-25,OUT - Meta Ads [Marketing],Marketing,-4093
2026-08-25,OUT - WeWork / Office [Office],Office,-2020
2026-08-25,OUT - IndiGo [Travel],Travel,-840
2026-08-26,IN - Acme Subscriptions (MRR),Revenue,27527
2026-08-26,IN - Enterprise Licenses,Revenue,7273
2026-08-26,OUT - AWS India [Cloud Infra],Cloud Infra,-10097
2026-08-26,OUT - Payroll - Team [Payroll],Payroll,-21894
2026-08-26,OUT - LinkedIn Ads [Marketing],Marketing,-5618
2026-08-26,OUT - Notion [Software Tools],Software Tools,-3093
2026-08-26,OUT - Amazon Office Supplies [Office],Office,-2179
2026-08-26,OUT - MakeMyTrip [Travel],Travel,-1536
2026-08-27,IN - Acme Subscriptions (MRR),Revenue,26783
2026-08-27,IN - Professional Services,Revenue,6940
2026-08-27,OUT - AWS India [Cloud Infra],Cloud Infra,-11679
2026-08-27,OUT - Payroll - Team [Payroll],Payroll,-23067
2026-08-27,OUT - LinkedIn Ads [Marketing],Marketing,-4478
2026-08-27,OUT - Slack [Software Tools],Software Tools,-2616
2026-08-27,OUT - Swiggy Office [Office],Office,-1353
2026-08-27,OUT - IndiGo [Travel],Travel,-1564
2026-08-28,IN - Acme Subscriptions (MRR),Revenue,27412
2026-08-28,IN - Enterprise Licenses,Revenue,9015
2026-08-28,IN - Professional Services,Revenue,4647
2026-08-28,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-12926
2026-08-28,OUT - Payroll - Team [Payroll],Payroll,-21062
2026-08-28,OUT - Meta Ads [Marketing],Marketing,-4320
2026-08-28,OUT - Slack [Software Tools],Software Tools,-2280
2026-08-28,OUT - Amazon Office Supplies [Office],Office,-1399
2026-08-28,OUT - MakeMyTrip [Travel],Travel,-453
2026-08-29,IN - Acme Subscriptions (MRR),Revenue,11213
2026-08-29,IN - Professional Services,Revenue,959
2026-08-29,OUT - AWS India [Cloud Infra],Cloud Infra,-11551
2026-08-29,OUT - LinkedIn Ads [Marketing],Marketing,-5254
2026-08-29,OUT - Notion [Software Tools],Software Tools,-2826
2026-08-29,OUT - Amazon Office Supplies [Office],Office,-1531
2026-08-29,OUT - Uber for Business [Travel],Travel,-821
2026-08-30,IN - Acme Subscriptions (MRR),Revenue,11283
2026-08-30,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-12710
2026-08-30,OUT - Meta Ads [Marketing],Marketing,-4831
2026-08-30,OUT - Notion [Software Tools],Software Tools,-3022
2026-08-30,OUT - WeWork / Office [Office],Office,-1869
2026-08-31,IN - Acme Subscriptions (MRR),Revenue,28594
2026-08-31,IN - Enterprise Licenses,Revenue,8182
2026-08-31,IN - Professional Services,Revenue,4531
2026-08-31,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-13945
2026-08-31,OUT - Payroll - Team [Payroll],Payroll,-22332
2026-08-31,OUT - Meta Ads [Marketing],Marketing,-2809
2026-08-31,OUT - Notion [Software Tools],Software Tools,-2999
2026-08-31,OUT - Amazon Office Supplies [Office],Office,-2129
2026-08-31,OUT - Uber for Business [Travel],Travel,-1122
2026-09-01,IN - Acme Subscriptions (MRR),Revenue,28284
2026-09-01,IN - Enterprise Licenses,Revenue,7599
2026-09-01,IN - Professional Services,Revenue,1799
2026-09-01,OUT - Payroll - Team [Payroll],Payroll,-21867
2026-09-01,OUT - Google Ads [Marketing],Marketing,-3925
2026-09-01,OUT - Notion [Software Tools],Software Tools,-3106
2026-09-01,OUT - Swiggy Office [Office],Office,-1401
2026-09-01,OUT - MakeMyTrip [Travel],Travel,-538
